Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.008760263654412,-0.000396839544223537,-0.00928841996798015,0,0,0,0.487759555485896,0.000838151997168944,-3.80585710120713E-09,1.31040513979038E-07,0.00178486179739814,3.05813375710027E-09,0.00251247821208881,0,0,0,0,0,0,package://CRAB_0805/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://CRAB_0805/meshes/base_link.STL,,Body-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RM_JIAN_LINK,0.0244201219206724,2.42861286636753E-17,0.0014814150225653,0,0,0,0.0112910941477822,6.49102206619316E-06,2.96805572151101E-21,-1.02290693133488E-09,6.04637024431847E-06,3.59696902698881E-22,6.04706077477713E-06,0,0,0,0,0,0,package://CRAB_0805/meshes/RM_JIAN_LINK.STL,1,1,1,1,0,0,0,0,0,0,package://CRAB_0805/meshes/RM_JIAN_LINK.STL,,RF_Link_1-2,坐标系2,基准轴2,RM_JIAN_JOINT,revolute,0.001,-0.1015,-0.0205,0,0,-1.5708,base_link,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,
RM_ZHOU_LINK,0.0396391594133572,0.00182574465334864,-0.00183117810438431,0,0,0,0.0753858251987763,1.16745222076052E-05,5.94202594602449E-21,-5.10171003053864E-21,2.11125980635044E-05,-3.51485012854345E-07,1.49159407182101E-05,0,0,0,0,0,0,package://CRAB_0805/meshes/RM_ZHOU_LINK.STL,1,1,1,1,0,0,0,0,0,0,package://CRAB_0805/meshes/RM_ZHOU_LINK.STL,,RF_Link_2-2,坐标系3,基准轴3,RM_ZHOU_JOINT,revolute,0.052,0,0,1.5708,0,0,RM_JIAN_LINK,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,
RM_XI_LINK,0.0932005324069179,-0.0010157129309824,0.000790208592210634,0,0,0,0.0276700407550857,5.1714549299637E-06,9.42052533174234E-10,2.22403454373457E-20,2.93413790527495E-05,6.02528977543007E-21,2.73009463290136E-05,0,0,0,0,0,0,package://CRAB_0805/meshes/RM_XI_LINK.STL,1,1,1,1,0,0,0,0,0,0,package://CRAB_0805/meshes/RM_XI_LINK.STL,,RF_Link_3-2,坐标系4,基准轴4,RM_XI_JOINT,revolute,0.08,0,0,0,0,-1.5708,RM_ZHOU_LINK,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
RM_R_LINK,0,-5.55111512312578E-17,-2.77555756156289E-17,0,0,0,4.18879020478639E-06,1.67551608191456E-12,0,1.79366203433577E-43,1.67551608191456E-12,1.54721492467482E-29,1.67551608191456E-12,0,0,0,0,0,0,package://CRAB_0805/meshes/RM_R_LINK.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CRAB_0805/meshes/RM_R_LINK.STL,,virtual-1,坐标系5,基准轴5,RM_R_JOINT,revolute,0.2095,0,0,3.1416,1.5708,0,RM_XI_LINK,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,
RM_P_LINK,2.77555756156289E-17,-5.55111512312578E-17,0,0,0,0,4.18879020478639E-06,1.67551608191456E-12,-1.54721492467482E-29,-1.79366203433577E-43,1.67551608191456E-12,0,1.67551608191456E-12,0,0,0,0,0,0,package://CRAB_0805/meshes/RM_P_LINK.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CRAB_0805/meshes/RM_P_LINK.STL,,virtual-2,坐标系6,基准轴6,RM_P_JOINT,revolute,0,0,0,0,1.5708,0,RM_R_LINK,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,
RM_Y_LINK,2.77555756156289E-17,1.11022302462516E-16,5.55111512312578E-17,0,0,0,4.18879020478639E-06,1.67551608191456E-12,-1.79366203433577E-43,1.54721492467482E-29,1.67551608191456E-12,0,1.67551608191456E-12,0,0,0,0,0,0,package://CRAB_0805/meshes/RM_Y_LINK.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CRAB_0805/meshes/RM_Y_LINK.STL,,virtual-3,坐标系7,基准轴7,RM_Y_JOINT,revolute,0,0,0,1.5708,0,0,RM_P_LINK,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
RF_JIAN_LINK,0.0244201219206724,1.38777878078145E-17,0.0014814150225653,0,0,0,0.0112910941477822,6.49102206619316E-06,8.470329472543E-22,-1.02290693133536E-09,6.04637024431847E-06,2.21559360455071E-21,6.04706077477712E-06,0,0,0,0,0,0,package://CRAB_0805/meshes/RF_JIAN_LINK.STL,1,1,1,1,0,0,0,0,0,0,package://CRAB_0805/meshes/RF_JIAN_LINK.STL,,RF_Link_1-1,坐标系8,基准轴8,RF_JIAN_JOINT,revolute,0.11412,-0.091732,-0.0205,0,0,-1.0472,base_link,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,
RF_ZHOU_LINK,0.0396391594133572,0.00182574465334865,-0.00183117810438431,0,0,0,0.0753858251987762,1.16745222076052E-05,9.99680377421895E-21,-3.81164826264435E-21,2.11125980635043E-05,-3.51485012854344E-07,1.49159407182101E-05,0,0,0,0,0,0,package://CRAB_0805/meshes/RF_ZHOU_LINK.STL,1,1,1,1,0,0,0,0,0,0,package://CRAB_0805/meshes/RF_ZHOU_LINK.STL,,RF_Link_2-1,坐标系9,基准轴9,RF_ZHOU_JOINT,revolute,0.052,0,0,1.5708,0,0,RF_JIAN_LINK,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,
RF_XI_LINK,0.093200532406918,-0.0010157129309824,0.000790208592210601,0,0,0,0.0276700407550858,5.17145492996371E-06,9.42052533167247E-10,1.60496100546135E-20,2.93413790527494E-05,2.45639554703747E-20,2.73009463290135E-05,0,0,0,0,0,0,package://CRAB_0805/meshes/RF_XI_LINK.STL,1,1,1,1,0,0,0,0,0,0,package://CRAB_0805/meshes/RF_XI_LINK.STL,,RF_Link_3-1,坐标系10,基准轴10,RF_XI_JOINT,revolute,0.08,0,0,0,0,-1.5708,RF_ZHOU_LINK,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
